petition_id,label_length,abstract_length,num_signatures
7965,15,52,23045
11416,13,54,22968
9528,4,45,22956
4879,15,53,22925
8930,16,46,22809
3069,11,46,22543
3558,12,43,22510
10366,14,47,22491
499,14,52,22459
11819,12,47,22362
2221,3,50,22287
8105,5,32,22146
3891,12,54,21799
11206,14,51,21672
997,14,49,21598
9634,11,38,21545
3302,16,49,21537
2747,11,53,21331
4940,12,18,21292
3153,8,55,21248
1740,5,35,21012
8748,15,56,20945
8887,11,38,20943
11303,13,50,20783
1150,14,15,20768
9401,12,47,20724
7507,13,50,20679
668,14,53,20613
1292,7,36,20580
3348,5,53,20549
5575,12,50,20368
8959,9,41,20215
5627,7,49,20049
2134,15,54,20018
8488,10,50,20004
7815,12,34,20000
4135,15,48,19834
9931,9,48,19815
1533,15,54,19765
5102,8,34,19722
380,6,43,19668
5399,9,32,19663
6433,8,48,19653
11535,12,42,19542
1706,15,51,19443
1724,10,42,19396
4123,10,55,19250
542,13,48,19229
9785,3,61,19205
7935,9,37,19142
11114,3,34,19120
11640,5,36,19104
446,12,39,19069
86,13,50,19012
9629,12,42,19012
3911,15,54,18984
7605,9,42,18951
12142,14,48,18805
11217,11,33,18794
2891,10,33,18784
4306,9,42,18741
9668,13,49,18720
7971,9,48,18679
9876,8,24,18676
2985,13,49,18633
11876,9,50,18614
1931,13,49,18483
3041,13,58,18451
5925,10,45,18435
3452,9,41,18429
2537,14,53,18418
7748,9,47,18381
5191,12,45,18264
3674,13,47,18263
3559,10,41,18254
5510,12,48,18163
1419,5,20,18145
10999,12,51,18021
4783,12,27,17992
7572,5,52,17892
3516,13,45,17880
4261,13,47,17752
9847,15,56,17734
8782,12,50,17699
9231,16,44,17533
4776,10,53,17459
9096,13,44,17424
2994,7,41,17417
3110,12,37,17347
6785,10,43,17214
3065,13,44,17076
2152,16,52,17073
10318,4,49,17052
9884,13,42,17034
10817,4,27,16902
11276,15,49,16868
7053,10,43,16865
5443,14,46,16856
1005,6,41,16855
5980,6,45,16813
7356,14,52,16740
1735,7,49,16723
11399,7,57,16705
431,8,50,16671
9858,13,48,16501
9611,17,55,16495
1603,5,49,16487
790,12,45,16445
11065,13,56,16441
10063,12,56,16300
12173,13,63,16253
4604,10,27,16131
1820,8,54,16047
7299,10,47,16038
6432,12,44,16016
7405,14,54,15856
8422,14,42,15849
3875,10,51,15793
5170,11,48,15765
3149,8,45,15713
3814,10,45,15693
743,15,41,15436
2807,9,46,15404
4371,7,13,15403
11227,12,44,15400
4882,7,51,15385
2329,14,25,15368
7716,13,52,15364
1369,8,49,15346
2491,7,47,15293
9207,17,48,15262
3957,9,46,15231
11353,4,3,15211
7084,10,46,15165
11539,13,49,15081
308,15,56,15057
6810,10,39,15042
2064,8,22,14923
1074,8,15,14840
2645,9,55,14806
1035,12,36,14748
3898,11,51,14739
2716,15,49,14714
7651,12,45,14689
7124,11,34,14681
9644,6,60,14656
9854,9,41,14637
9266,6,47,14600
9933,9,57,14561
10733,13,24,14560
864,10,49,14539
10167,15,55,14532
9519,10,53,14531
10411,10,24,14518
6695,11,49,14457
2251,8,47,14374
7048,11,59,14345
3008,12,47,14329
6100,5,53,14329
1851,12,49,14297
5327,4,57,14288
7435,9,26,14270
6948,13,47,14188
7488,10,55,14183
100,13,47,14178
8335,9,51,14090
5315,5,32,14067
11267,12,44,14062
8651,12,45,14040
1684,11,39,14030
8625,10,50,14002
7734,5,16,13990
12329,8,42,13947
5448,14,49,13942
6471,9,41,13914
11870,15,50,13870
8229,11,44,13809
8578,9,49,13787
3698,16,50,13732
10297,8,53,13710
9516,7,21,13685
9660,12,43,13652
7566,13,33,13637
527,14,45,13626
6340,11,52,13580
5826,12,49,13546
2063,11,40,13525
2486,11,47,13456
10824,12,49,13424
3914,11,32,13392
5626,6,26,13390
4514,9,48,13378
5057,8,52,13346
5604,10,47,13345
4159,4,36,13285
11143,10,28,13282
1379,13,48,13256
1516,12,53,13250
12361,8,47,13239
2864,6,51,13233
11459,12,52,13204
1826,14,34,13194
10757,14,37,13189
2433,4,45,13179
11172,10,55,13136
8344,10,37,13108
7900,15,14,13042
12031,5,37,13016
5660,7,43,13015
2624,14,23,13010
7881,11,54,12967
2712,10,58,12966
11691,12,43,12958
9950,10,58,12958
7642,11,51,12902
3762,12,25,12896
1309,7,48,12887
11860,14,47,12858
4790,14,49,12828
10834,10,53,12809
317,13,49,12807
10431,13,50,12793
8915,13,47,12777
8265,13,40,12750
2683,13,56,12741
6001,12,51,12729
11311,12,44,12717
9994,10,48,12693
3954,13,26,12621
11010,10,35,12615
6621,12,50,12598
6039,11,45,12520
8807,12,36,12500
5498,9,40,12490
5984,6,51,12467
8011,10,35,12455
3868,12,56,12428
3681,12,46,12368
4023,13,43,12355
7733,12,47,12239
6613,12,31,12190
10496,12,47,12136
3979,7,44,12134
8816,14,49,12102
961,12,47,12096
5680,9,8,12084
11489,11,49,12080
467,7,51,12046
6171,13,48,12040
4937,10,43,12040
850,9,47,12038
339,10,23,12026
4941,14,39,12014
3286,12,56,11975
4734,12,36,11948
5524,15,36,11941
11806,10,51,11937
9792,13,52,11936
3997,10,49,11928
5881,6,30,11892
2397,15,51,11872
835,12,59,11867
10629,15,51,11865
9181,12,57,11859
2907,10,47,11854
4468,12,47,11851
1594,13,47,11849
7056,11,24,11839
5718,11,50,11835
11182,12,53,11821
7920,13,38,11813
5138,12,51,11806
601,12,50,11795
9095,11,37,11795
1434,14,40,11782
4206,12,44,11781
6691,13,43,11717
2631,6,29,11713
7960,15,43,11697
5795,8,47,11673
4281,6,48,11637
2830,10,48,11622
10204,6,45,11595
9821,11,35,11580
2004,9,27,11576
3204,11,48,11574
8751,9,47,11566
2356,10,48,11526
6568,13,48,11499
2086,14,51,11472
2170,13,45,11458
1792,12,50,11455
11121,9,49,11431
8881,4,42,11428
733,10,55,11409
3458,12,45,11406
4733,14,56,11406
6341,12,49,11391
7637,12,49,11370
993,14,44,11346
9020,8,51,11335
3113,14,54,11330
8515,12,48,11307
2191,11,50,11277
3846,12,15,11217
740,10,34,11190
11017,10,46,11188
8639,11,50,11179
8041,9,53,11152
5133,13,46,11095
12343,15,48,11078
8345,14,56,11066
5650,12,49,11054
9691,11,31,11027
5247,10,49,11009
11525,7,58,10997
4395,4,47,10990
10412,14,42,10971
11096,13,48,10946
10906,10,53,10934
7663,11,46,10932
10202,5,47,10927
8202,12,48,10919
12030,15,53,10907
4423,11,48,10879
6856,10,46,10860
2544,11,48,10857
205,11,42,10851
11185,13,51,10850
8647,6,40,10833
6382,8,33,10824
7907,7,55,10821
6190,12,39,10792
11356,13,52,10788
11830,12,46,10770
3602,8,28,10762
5508,7,46,10755
6144,10,44,10730
2770,6,45,10718
4708,13,50,10706
9098,6,44,10675
8501,12,46,10670
12038,14,48,10627
4060,11,38,10611
11865,12,55,10610
6843,12,44,10602
11440,6,47,10590
3254,11,55,10564
8055,16,53,10544
12010,14,47,10534
7368,11,50,10519
4696,12,45,10508
9651,11,49,10506
10687,12,58,10505
1077,5,47,10504
10277,11,44,10496
5930,9,48,10495
6125,15,59,10485
5810,14,50,10484
2601,13,58,10481
5926,10,45,10476
10129,11,52,10476
4829,10,55,10462
6862,11,30,10462
8668,13,43,10455
4070,10,45,10400
3190,11,32,10396
4719,11,46,10395
281,10,41,10394
2764,15,54,10393
2334,9,45,10389
4746,12,16,10386
6280,12,45,10385
11866,9,48,10372
702,11,47,10359
6670,15,51,10345
7077,15,33,10345
7493,6,37,10332
4487,10,55,10319
6973,14,48,10292
11905,12,49,10272
1498,13,24,10267
881,11,39,10265
4978,13,37,10263
6493,10,53,10221
8148,10,54,10221
12119,11,49,10218
10673,15,55,10215
9357,15,44,10184
11049,16,54,10156
6334,13,51,10131
9826,13,51,10056
1414,11,53,10040
9896,11,47,10015
7065,8,42,9947
6033,13,53,9901
1424,15,53,9795
8061,13,49,9723
1358,4,56,9663
1367,5,52,9436
908,12,49,9338
10715,14,33,9320
181,15,54,9287
3748,8,48,9256
10152,14,9,9120
6690,4,53,9116
5041,12,51,9065
10050,7,14,9021
2924,11,48,8955
9621,12,54,8955
10604,5,13,8951
9527,6,57,8938
10333,13,54,8884
1752,13,54,8827
9486,7,37,8824
248,9,31,8816
10024,9,31,8738
8570,6,52,8732
7754,11,30,8700
6089,14,39,8690
5433,8,53,8687
4908,10,46,8668
10704,12,46,8603
3163,9,28,8457
2955,5,48,8457
7137,10,46,8381
7804,8,50,8368
1274,12,42,8292
7696,4,52,8283
6065,10,37,8219
833,10,43,8215
4399,9,46,8203
2451,7,45,8189
885,13,51,8142
10131,14,48,8123
5760,14,50,8114
6934,9,46,8080
312,7,49,8014
11714,12,49,7990
7087,12,38,7986
1510,11,50,7984
11450,10,48,7904
10697,6,44,7891
3054,11,52,7835
10762,11,46,7784
4701,13,46,7757
2235,4,29,7754
2322,8,38,7723
5586,14,47,7645
8747,13,45,7620
6894,9,33,7618
4713,12,51,7610
6482,11,46,7571
2499,14,45,7553
4287,6,50,7548
12273,16,52,7528
8794,10,57,7527
8635,14,46,7522
7620,10,51,7512
3904,14,23,7439
11797,5,23,7435
2444,10,45,7425
2351,13,40,7389
10838,11,49,7384
8853,12,30,7379
1631,15,63,7343
10524,10,49,7338
8657,13,51,7329
7838,10,43,7321
3576,6,51,7313
12166,11,47,7305
8787,9,32,7273
8336,11,52,7251
8967,11,53,7173
1754,10,45,7154
12068,10,43,7144
5617,5,42,7139
1974,9,51,7138
7627,15,51,7135
10882,14,51,7101
11906,10,48,7032
11850,10,55,7024
7016,13,40,7002
5040,12,43,6994
10734,9,41,6943
5911,12,49,6940
59,14,39,6920
5689,8,45,6909
8752,12,34,6894
9900,5,35,6886
9498,10,48,6884
6825,11,43,6826
3292,9,43,6820
9404,10,54,6814
11895,13,43,6804
4815,10,27,6795
373,12,52,6744
7892,14,51,6730
10000,12,50,6722
10563,13,49,6716
3425,14,49,6715
7824,5,42,6679
10870,12,56,6656
5823,7,48,6614
11874,10,55,6609
9577,13,35,6590
466,7,53,6589
8375,15,35,6526
4878,12,31,6515
8290,13,58,6481
8374,12,53,6470
9403,10,51,6451
7001,13,47,6450
2679,15,50,6420
6368,12,47,6388
2362,12,46,6375
11670,8,58,6363
5005,11,50,6354
8431,12,57,6334
9738,11,53,6333
7414,11,27,6332
9369,14,51,6315
8063,5,48,6311
4264,12,45,6302
1771,13,47,6295
6470,10,40,6272
9697,16,49,6211
7152,13,43,6209
9342,11,47,6184
6935,13,52,6143
8027,13,41,6114
11779,11,47,6083
6177,4,41,5996
3243,9,38,5976
3179,11,51,5953
6038,12,43,5951
8184,9,47,5936
11463,12,42,5923
5434,9,26,5922
8949,10,48,5911
892,13,48,5896
10141,11,35,5895
12254,14,49,5887
3152,13,45,5866
6389,11,42,5854
3050,13,47,5853
1494,12,19,5850
4569,15,43,5843
4385,14,53,5810
6020,14,54,5792
5100,11,44,5782
7063,15,49,5771
513,12,47,5759
5050,12,49,5750
7726,7,14,5736
11886,14,43,5722
8409,14,44,5705
788,12,52,5700
1785,11,47,5700
10309,9,21,5693
3307,14,56,5686
5155,4,21,5680
3881,10,46,5678
6532,6,59,5657
9119,13,31,5646
2704,13,42,5634
5907,12,54,5592
8250,11,50,5577
7636,10,41,5557
8316,8,44,5554
11386,7,56,5543
3112,10,45,5520
3938,12,45,5518
1969,10,50,5495
10641,13,54,5493
1097,10,59,5486
963,10,49,5482
11212,11,50,5473
10806,11,47,5464
11664,13,50,5452
3420,11,49,5452
8954,16,49,5425
2476,6,51,5422
12174,9,51,5420
1965,13,34,5415
758,12,54,5365
9208,12,49,5362
5799,13,48,5354
815,5,45,5331
10987,12,34,5329
6212,11,52,5322
3333,9,49,5319
8868,5,44,5312
1741,9,45,5309
2987,11,43,5295
11239,11,34,5280
6561,11,51,5272
2901,13,44,5210
2450,10,47,5205
83,12,45,5204
5770,15,40,5183
4804,11,43,5179
11243,9,44,5175
11155,10,48,5170
4155,8,57,5161
10725,12,49,5159
10031,12,46,5156
6557,11,40,5143
2172,9,43,5129
8078,6,47,5112
4966,9,37,5104
957,8,17,5084
7276,8,53,5079
1707,10,18,5078
955,12,29,5073
2058,10,53,5063
5495,7,42,5044
11099,15,58,5026
8598,10,44,5019
11365,12,45,5018
7173,11,39,5009
4639,10,56,5008
9279,9,47,4992
7848,12,53,4965
5194,6,53,4941
3151,7,47,4939
5363,12,49,4936
11812,13,56,4919
4673,14,50,4859
7839,8,38,4838
6451,12,51,4832
4518,12,43,4829
5260,11,41,4821
2457,13,50,4819
2324,13,50,4814
11768,5,47,4809
5301,11,50,4808
5240,16,55,4807
2680,11,50,4798
8518,5,44,4771
12128,12,52,4770
8614,5,34,4769
10191,13,47,4767
11229,6,23,4762
6070,13,42,4761
1614,13,52,4733
3521,11,44,4732
2257,12,47,4729
9210,11,42,4721
1062,9,17,4714
1862,12,49,4704
2796,9,47,4663
628,7,51,4633
6549,12,51,4588
1903,8,54,4584
7215,13,50,4579
4765,6,40,4572
9299,7,58,4559
12295,8,37,4558
10391,13,49,4552
9557,13,49,4543
795,14,43,4543
7176,11,45,4526
7331,13,46,4506
11517,15,49,4500
4740,12,44,4500
7539,12,51,4470
9296,8,45,4462
10219,9,36,4462
4808,12,52,4455
9201,8,35,4455
10856,8,46,4452
11610,8,44,4451
10732,11,51,4435
10178,12,24,4432
5367,13,51,4423
9848,9,53,4417
5334,12,37,4408
7353,12,42,4402
10346,11,53,4401
4432,11,17,4399
3449,11,53,4395
468,6,26,4386
5919,9,48,4378
9027,13,47,4359
3971,9,46,4356
1144,12,48,4334
2125,14,65,4327
12201,14,53,4322
9505,10,37,4304
8448,10,46,4295
9458,12,37,4289
1488,10,45,4286
1758,11,36,4285
4640,7,50,4274
12151,17,35,4260
9338,11,49,4260
4825,12,48,4257
6566,8,43,4248
9195,10,54,4242
11702,10,29,4242
10737,12,44,4237
11199,11,53,4237
6495,13,56,4230
10546,13,31,4218
11914,12,53,4196
11195,12,47,4194
4207,11,48,4181
7314,8,29,4180
6139,12,48,4175
8337,12,43,4171
383,14,49,4165
6448,13,50,4154
7426,11,35,4153
2422,14,40,4137
4145,10,55,4132
5578,8,45,4108
12373,13,53,4108
6709,4,46,4097
9260,10,47,4096
10095,14,36,4079
4165,8,44,4067
10873,12,43,4057
11328,11,55,4055
9886,12,50,4055
4406,10,55,4042
10046,17,49,4029
9623,12,49,4018
644,12,47,4014
11317,11,53,4012
11783,10,42,4008
7611,14,48,4007
12315,11,55,3992
12063,12,49,3979
4650,13,49,3969
11816,15,45,3960
5249,12,49,3950
4974,13,44,3949
3105,15,37,3948
4019,13,45,3944
10200,14,52,3944
5798,11,40,3937
9157,11,48,3934
10397,12,39,3920
6678,17,46,3892
11163,8,50,3890
6744,17,49,3889
2543,12,36,3880
1567,14,58,3877
8029,13,47,3871
6472,11,50,3859
9964,5,44,3859
10354,15,51,3837
10791,14,48,3830
4117,11,50,3824
6615,11,48,3815
5500,15,55,3813
8125,13,54,3811
2073,13,48,3810
10044,10,41,3803
5071,8,45,3800
2655,9,46,3796
163,11,39,3796
11434,10,31,3795
1950,12,52,3786
5375,13,36,3783
1902,9,51,3781
9352,4,52,3771
10100,14,47,3759
6064,15,36,3755
4245,12,43,3755
1576,10,56,3751
9081,12,51,3746
8114,9,37,3746
1606,15,34,3735
1956,10,52,3731
11913,7,39,3724
7153,10,46,3721
10735,15,42,3719
4420,9,45,3718
10372,15,48,3717
2318,14,46,3709
11166,12,47,3707
11991,14,49,3706
8137,12,32,3702
2084,13,1,3691
6156,12,37,3681
12229,13,48,3680
7997,10,44,3650
11805,15,32,3648
9474,5,48,3644
301,15,47,3642
11008,11,30,3638
12309,7,50,3616
11250,10,48,3615
9282,15,44,3609
10829,14,53,3606
3162,5,52,3599
9609,8,19,3597
2205,10,46,3585
6267,10,34,3585
12003,10,56,3584
9228,9,42,3583
1445,9,35,3577
7697,13,50,3577
3101,9,57,3574
11950,11,39,3572
5516,13,41,3570
5867,12,40,3568
11679,15,52,3567
11927,12,33,3564
7471,9,53,3563
9606,8,50,3559
11069,5,52,3555
11983,7,52,3546
9007,14,44,3543
3803,13,46,3539
226,6,48,3531
7335,10,31,3519
9071,12,38,3505
10544,13,47,3490
4309,11,44,3483
3444,11,54,3480
6909,11,47,3479
12313,13,46,3478
6725,14,55,3469
4793,14,53,3448
2847,13,46,3439
8572,10,48,3436
2522,15,46,3428
2640,6,52,3423
7035,12,50,3419
10786,8,36,3408
2971,12,48,3405
3264,8,54,3403
6385,13,49,3396
11834,10,33,3388
5391,12,25,3385
8043,13,32,3381
2495,12,56,3364
6786,10,50,3362
631,4,33,3360
11469,11,50,3353
1338,5,40,3320
11715,10,45,3317
11647,13,37,3317
1380,8,34,3315
8838,9,29,3300
11471,9,51,3297
4688,16,55,3288
8842,10,38,3288
4334,15,52,3287
423,7,50,3276
3428,14,52,3270
5008,9,53,3259
7536,8,41,3254
12223,12,48,3252
2919,11,41,3251
444,15,50,3240
4536,9,33,3237
2467,13,48,3231
8833,12,46,3222
11888,11,51,3221
3952,11,53,3217
6719,12,40,3214
9760,12,46,3207
4599,11,50,3191
3961,11,40,3178
9151,9,52,3164
8899,9,49,3153
872,14,44,3144
1539,11,57,3135
6611,15,49,3129
10303,12,53,3127
10945,7,37,3127
8485,15,45,3123
1873,14,44,3118
5235,13,38,3118
8256,13,46,3116
2639,12,48,3115
2802,10,51,3114
7046,12,47,3112
346,14,48,3104
520,13,50,3100
1435,6,52,3095
3207,9,37,3094
228,8,53,3083
4773,14,44,3082
7724,9,26,3080
9336,12,44,3074
3666,13,59,3061
